exam_uuid,run_label,question_id,question_uuid,source_document,page_number,relevance_score,chunk_index,content
f38629ba-0463-4ace-9192-56b3edf30ddc,Run 1/3,Q2,cbaeccc5-6d77-4bea-9ead-4e302a896c13,data/uploads/f38629ba-0463-4ace-9192-56b3edf30ddc/b8ed2596-30b4-48d5-8000-efb410cd2277.pdf,208,0.5884174065776202,205,"198 CAPÍTULO 9. VETORES
Em análise de algoritmos o importante é observar a função cujo comportamento
predomina. Neste caso é o termo N2. Por razões que só serão detalhadas em dis-
ciplinas mais avançadas e que envolvem ocomportamento assintóticode funções, o
termo linearN e fator 1
2 não são normalmente considerados neste tipo de análise. O
fato é que uma função quadrática tem predominância sobre funções lineares ou sobre
constantes quando se considera umN muito grande. Por isso se diz que este algoritmo
tem comportamento quadrático.
9.8.2 Ordenação por inserção
A ordenação por inserção é na prática mais eﬁciente que a ordenação por seleção.
Porém, embora o algoritmo em si seja simples, sua implementação é repleta de deta-
lhes. Vamos inicialmente entender o processo. O princípio do algoritmo é percorrer o
vetor e a cada etapai, o elemento da posiçãoié inserido (daí o nome do método) na
sua posição corretarelativamente quando comparado aos primeirosi−1 elementos.
Muitas pessoas ordenam suas cartas em jogos de baralho usando este método.
Para melhor compreensão, faremos a apresentação de um exemplo sem mostrarmos
o vetor, usaremos sequências de números. Consideremos que a entrada é a mesma do
exemplo anterior, isto é:
15, 12, 27, 23, 7, 2, 0, 18, 19, 21.
Na primeira etapa o algoritmo considera que o primeiro elemento, o 15, está na
sua posição relativa correta, pois se considera apenas a primeira posição do vetor.
Usaremos os negritos para mostrar quais as etapas já foram feitas pelo algoritmo.
Na segunda etapa deve-se inserir o segundo elemento em sua posição relativa cor-
reta considerando-se somente o vetor de tamanho 2. Como o 12 é menor que que o
15, deve-se trocar estes elementos de posição, nos resultando na sequência:
12, 15, 27, 23, 7, 2, 0, 18, 19, 21.
Nesteponto, oselementos12e15estãoemsuasposiçõesrelativascorretasconsiderando-
se um vetor de 2 posições. Agora, deve-se colocar o 27 no vetor de 3 elementos. Mas
o 27 já está em seu lugar relativo, então o algoritmo não faz nada:
12, 15, 27, 23, 7, 2, 0, 18, 19, 21.
Na quarta etapa deve-se inserir o 23 na sua posição relativa correta considerando-se
um vetor de 4 elementos. O 23 tem que estar entre o 15 e o 27:
12, 15, 23, 27, 7, 2, 0, 18, 19, 21.
Na quinta etapa deve-se inserir o 7 na sua posição relativa a um vetor de 5 ele-
mentos. Ele deve ser inserido antes do 12, isto é, na primeira posição:
7, 12, 15, 23, 27, 2, 0, 18, 19, 21."
f38629ba-0463-4ace-9192-56b3edf30ddc,Run 1/3,Q2,cbaeccc5-6d77-4bea-9ead-4e302a896c13,data/uploads/f38629ba-0463-4ace-9192-56b3edf30ddc/b8ed2596-30b4-48d5-8000-efb410cd2277.pdf,204,0.5821939368285549,201,"194 CAPÍTULO 9. VETORES
9.7 Vetores como estruturas de dados
O conceito de vetores, por si só, é tecnicamente umtipo estruturado válido na lin-
guagem Pascal. Uma estrutura de dados é algo um pouco mais soﬁsticado, tem a ver
com a maneira como o vetor é utilizado e quais são, ou não são, as propriedades de
seus elementos.
Por exemplo, para bem utilizar um vetor, é preciso saber se seus elementos úteis,
com relação ao espaço total do vetor, se são alocados do início ao ﬁm, ou do ﬁm ao
início. É importante saber se seus elementos (conteúdos) estão ordenados ou não, o
se, quem sabe, respeitam alguma outra propriedade qualquer.
Estas informações adicionais orientam como são escritos os algoritmos que mani-
pulam o vetor. Se os elementos úteis estão do início ao ﬁm, os comandos de repetição
devem trabalhar no intervalo1..tam. Se os elementos estão ordenados, pode-se usar
a busca binária. Observe que o comportamento logaritmico da busca binária só é
conseguido pois o vetor é considerado ordenado.
Desta maneira, os algoritmos podem (na verdade, devem) explorar estas proprie-
dades subjacentes para que os algoritmos sejam mais eﬁcientes.
Algoritmos e Estruturas de Dados são dois conceitos intimamente relacionados.
As estruturas de Dados permitem algoritmos melhores, ou as vezes, nem tanto.
Porexemplo: vimosqueemumvetornãoordenadoinserireremoverésimples, têm
custo constante. Mas por outro lado buscar tem custo linear. De maneira contrária,
se o vetor está ordenado, então buscar tem custo logaritmico, mas inserir e remover
tem custo linear.
Por isso não podemos dizer que uma estrutura de dados é melhor do que outra
para o caso geral dos problemas vistos até agora. Qual estrutura escolher: vetores
ordenados ou não? A resposta depende da aplicação, se o usuário vai realizar mais
inserções do que buscas, ou vice e versa.
A disciplina de Algoritmos e Estrutura de Dados III vai permitir explorar esta diﬁ-
culdade ao longo de praticamente um semestre todo. Existe material, provavelmente,
para mais do que este tempo. Nesta disciplina, esta trinca de problemas buscar, in-
serir e remover é investigada ao máximo e na verdade constitui pesquisa até os dias
de hoje.
9.8 Ordenação em vetores
Ordenar vetores é extremamente importante em computação, pois é muito comum
que uma saída de um programa seja dada com algum tipo de ordem sobre os dados.
Nesta seção vamos apresentar dois algoritmos para este problema: os métodos da
ordenação por seleção e por inserção.
9.8.1 Ordenação por seleção
A ordenação por seleção é um método bastante simples de se compreender e também
de se implementar."
f38629ba-0463-4ace-9192-56b3edf30ddc,Run 1/3,Q2,cbaeccc5-6d77-4bea-9ead-4e302a896c13,data/uploads/f38629ba-0463-4ace-9192-56b3edf30ddc/b8ed2596-30b4-48d5-8000-efb410cd2277.pdf,239,0.5804907919505852,236,"9.10. EXERCÍCIOS 229
Exemplo de entrada Saída esperada
10 50 99 73 4
73
82 8
73 82
54 1
54 73 82
65 8
54 73 82 65
97 8
54 73 82 65 97
81 8
54 81 73 82 65 97
59 6
54 81 73 59 82 65 97
62 1
54 81 62 73 59 82 65 97
70 7
54 81 62 73 59 70 82 65 97
96 7
54 81 62 73 96 59 70 82 65 97
3. Faça um programa emPascal que leia um número inteiro positivo e depois leia
uma sequência den valores reais não nulos (n≤100) e os insira em um vetor.
Considere o elementop = V[1] como opivô na operação de rearranjar o vetor
de tal maneira que, ao ﬁnal do processo, todos os elementos à esquerda dep
sejam menores que ele e todos os da direta sejam maiores ou iguais a ele. No
ﬁnal, o elementop pode não estar mais na posição 1.
Exemplo de entrada Saída esperada
6
13 32 99 2 26 12 2 12 13 32 99 26
O programa gerou como resultado um vetor onde todos os elementos que estão
à esquerda do valor13 no vetor são menores que ele, enquanto que os da direita
são maiores do que ele.
9.10.7 Exercícios de maratona de programação
Os exercícios de maratona são feitos de maneira que, em geral, um algoritmo qualquer
que resolve o problema não serve, mas tem que ser um algoritmo eﬁciente. Por
exemplo, se existe a chance de você usar um algoritmo de complexidade proporcial
log(n) e você usou um de complexidade proporcional an, então você ganha do sistema
de competição a respostatime limit exceeded.
Logo, nos próximos exercícios, cuide para que seu algoritmo seja eﬁciente!"
f38629ba-0463-4ace-9192-56b3edf30ddc,Run 1/3,Q2,cbaeccc5-6d77-4bea-9ead-4e302a896c13,data/uploads/f38629ba-0463-4ace-9192-56b3edf30ddc/b8ed2596-30b4-48d5-8000-efb410cd2277.pdf,15,0.5793593466946744,14,"Parte I
Algoritmos
5"
13060f67-8710-43d2-940f-121c2adb7af7,Run 2/3,Q2,78be9264-3b10-4ce5-b80e-0853e1323289,data/uploads/13060f67-8710-43d2-940f-121c2adb7af7/2aed871f-1dd9-489b-b3ea-36619250c9ce.pdf,208,0.5884174065776202,205,"198 CAPÍTULO 9. VETORES
Em análise de algoritmos o importante é observar a função cujo comportamento
predomina. Neste caso é o termo N2. Por razões que só serão detalhadas em dis-
ciplinas mais avançadas e que envolvem ocomportamento assintóticode funções, o
termo linearN e fator 1
2 não são normalmente considerados neste tipo de análise. O
fato é que uma função quadrática tem predominância sobre funções lineares ou sobre
constantes quando se considera umN muito grande. Por isso se diz que este algoritmo
tem comportamento quadrático.
9.8.2 Ordenação por inserção
A ordenação por inserção é na prática mais eﬁciente que a ordenação por seleção.
Porém, embora o algoritmo em si seja simples, sua implementação é repleta de deta-
lhes. Vamos inicialmente entender o processo. O princípio do algoritmo é percorrer o
vetor e a cada etapai, o elemento da posiçãoié inserido (daí o nome do método) na
sua posição corretarelativamente quando comparado aos primeirosi−1 elementos.
Muitas pessoas ordenam suas cartas em jogos de baralho usando este método.
Para melhor compreensão, faremos a apresentação de um exemplo sem mostrarmos
o vetor, usaremos sequências de números. Consideremos que a entrada é a mesma do
exemplo anterior, isto é:
15, 12, 27, 23, 7, 2, 0, 18, 19, 21.
Na primeira etapa o algoritmo considera que o primeiro elemento, o 15, está na
sua posição relativa correta, pois se considera apenas a primeira posição do vetor.
Usaremos os negritos para mostrar quais as etapas já foram feitas pelo algoritmo.
Na segunda etapa deve-se inserir o segundo elemento em sua posição relativa cor-
reta considerando-se somente o vetor de tamanho 2. Como o 12 é menor que que o
15, deve-se trocar estes elementos de posição, nos resultando na sequência:
12, 15, 27, 23, 7, 2, 0, 18, 19, 21.
Nesteponto, oselementos12e15estãoemsuasposiçõesrelativascorretasconsiderando-
se um vetor de 2 posições. Agora, deve-se colocar o 27 no vetor de 3 elementos. Mas
o 27 já está em seu lugar relativo, então o algoritmo não faz nada:
12, 15, 27, 23, 7, 2, 0, 18, 19, 21.
Na quarta etapa deve-se inserir o 23 na sua posição relativa correta considerando-se
um vetor de 4 elementos. O 23 tem que estar entre o 15 e o 27:
12, 15, 23, 27, 7, 2, 0, 18, 19, 21.
Na quinta etapa deve-se inserir o 7 na sua posição relativa a um vetor de 5 ele-
mentos. Ele deve ser inserido antes do 12, isto é, na primeira posição:
7, 12, 15, 23, 27, 2, 0, 18, 19, 21."
13060f67-8710-43d2-940f-121c2adb7af7,Run 2/3,Q2,78be9264-3b10-4ce5-b80e-0853e1323289,data/uploads/13060f67-8710-43d2-940f-121c2adb7af7/2aed871f-1dd9-489b-b3ea-36619250c9ce.pdf,204,0.5821939368285549,201,"194 CAPÍTULO 9. VETORES
9.7 Vetores como estruturas de dados
O conceito de vetores, por si só, é tecnicamente umtipo estruturado válido na lin-
guagem Pascal. Uma estrutura de dados é algo um pouco mais soﬁsticado, tem a ver
com a maneira como o vetor é utilizado e quais são, ou não são, as propriedades de
seus elementos.
Por exemplo, para bem utilizar um vetor, é preciso saber se seus elementos úteis,
com relação ao espaço total do vetor, se são alocados do início ao ﬁm, ou do ﬁm ao
início. É importante saber se seus elementos (conteúdos) estão ordenados ou não, o
se, quem sabe, respeitam alguma outra propriedade qualquer.
Estas informações adicionais orientam como são escritos os algoritmos que mani-
pulam o vetor. Se os elementos úteis estão do início ao ﬁm, os comandos de repetição
devem trabalhar no intervalo1..tam. Se os elementos estão ordenados, pode-se usar
a busca binária. Observe que o comportamento logaritmico da busca binária só é
conseguido pois o vetor é considerado ordenado.
Desta maneira, os algoritmos podem (na verdade, devem) explorar estas proprie-
dades subjacentes para que os algoritmos sejam mais eﬁcientes.
Algoritmos e Estruturas de Dados são dois conceitos intimamente relacionados.
As estruturas de Dados permitem algoritmos melhores, ou as vezes, nem tanto.
Porexemplo: vimosqueemumvetornãoordenadoinserireremoverésimples, têm
custo constante. Mas por outro lado buscar tem custo linear. De maneira contrária,
se o vetor está ordenado, então buscar tem custo logaritmico, mas inserir e remover
tem custo linear.
Por isso não podemos dizer que uma estrutura de dados é melhor do que outra
para o caso geral dos problemas vistos até agora. Qual estrutura escolher: vetores
ordenados ou não? A resposta depende da aplicação, se o usuário vai realizar mais
inserções do que buscas, ou vice e versa.
A disciplina de Algoritmos e Estrutura de Dados III vai permitir explorar esta diﬁ-
culdade ao longo de praticamente um semestre todo. Existe material, provavelmente,
para mais do que este tempo. Nesta disciplina, esta trinca de problemas buscar, in-
serir e remover é investigada ao máximo e na verdade constitui pesquisa até os dias
de hoje.
9.8 Ordenação em vetores
Ordenar vetores é extremamente importante em computação, pois é muito comum
que uma saída de um programa seja dada com algum tipo de ordem sobre os dados.
Nesta seção vamos apresentar dois algoritmos para este problema: os métodos da
ordenação por seleção e por inserção.
9.8.1 Ordenação por seleção
A ordenação por seleção é um método bastante simples de se compreender e também
de se implementar."
13060f67-8710-43d2-940f-121c2adb7af7,Run 2/3,Q2,78be9264-3b10-4ce5-b80e-0853e1323289,data/uploads/13060f67-8710-43d2-940f-121c2adb7af7/2aed871f-1dd9-489b-b3ea-36619250c9ce.pdf,239,0.5804907919505852,236,"9.10. EXERCÍCIOS 229
Exemplo de entrada Saída esperada
10 50 99 73 4
73
82 8
73 82
54 1
54 73 82
65 8
54 73 82 65
97 8
54 73 82 65 97
81 8
54 81 73 82 65 97
59 6
54 81 73 59 82 65 97
62 1
54 81 62 73 59 82 65 97
70 7
54 81 62 73 59 70 82 65 97
96 7
54 81 62 73 96 59 70 82 65 97
3. Faça um programa emPascal que leia um número inteiro positivo e depois leia
uma sequência den valores reais não nulos (n≤100) e os insira em um vetor.
Considere o elementop = V[1] como opivô na operação de rearranjar o vetor
de tal maneira que, ao ﬁnal do processo, todos os elementos à esquerda dep
sejam menores que ele e todos os da direta sejam maiores ou iguais a ele. No
ﬁnal, o elementop pode não estar mais na posição 1.
Exemplo de entrada Saída esperada
6
13 32 99 2 26 12 2 12 13 32 99 26
O programa gerou como resultado um vetor onde todos os elementos que estão
à esquerda do valor13 no vetor são menores que ele, enquanto que os da direita
são maiores do que ele.
9.10.7 Exercícios de maratona de programação
Os exercícios de maratona são feitos de maneira que, em geral, um algoritmo qualquer
que resolve o problema não serve, mas tem que ser um algoritmo eﬁciente. Por
exemplo, se existe a chance de você usar um algoritmo de complexidade proporcial
log(n) e você usou um de complexidade proporcional an, então você ganha do sistema
de competição a respostatime limit exceeded.
Logo, nos próximos exercícios, cuide para que seu algoritmo seja eﬁciente!"
13060f67-8710-43d2-940f-121c2adb7af7,Run 2/3,Q2,78be9264-3b10-4ce5-b80e-0853e1323289,data/uploads/13060f67-8710-43d2-940f-121c2adb7af7/2aed871f-1dd9-489b-b3ea-36619250c9ce.pdf,15,0.5793593466946744,14,"Parte I
Algoritmos
5"
53b60eeb-af31-42f6-958d-ae4792677137,Run 3/3,Q2,60b10f0d-043e-46c6-8699-d2c004ed45f3,data/uploads/53b60eeb-af31-42f6-958d-ae4792677137/4fbfafb7-f5b4-4121-aece-41829fdf9299.pdf,208,0.5884174065776202,205,"198 CAPÍTULO 9. VETORES
Em análise de algoritmos o importante é observar a função cujo comportamento
predomina. Neste caso é o termo N2. Por razões que só serão detalhadas em dis-
ciplinas mais avançadas e que envolvem ocomportamento assintóticode funções, o
termo linearN e fator 1
2 não são normalmente considerados neste tipo de análise. O
fato é que uma função quadrática tem predominância sobre funções lineares ou sobre
constantes quando se considera umN muito grande. Por isso se diz que este algoritmo
tem comportamento quadrático.
9.8.2 Ordenação por inserção
A ordenação por inserção é na prática mais eﬁciente que a ordenação por seleção.
Porém, embora o algoritmo em si seja simples, sua implementação é repleta de deta-
lhes. Vamos inicialmente entender o processo. O princípio do algoritmo é percorrer o
vetor e a cada etapai, o elemento da posiçãoié inserido (daí o nome do método) na
sua posição corretarelativamente quando comparado aos primeirosi−1 elementos.
Muitas pessoas ordenam suas cartas em jogos de baralho usando este método.
Para melhor compreensão, faremos a apresentação de um exemplo sem mostrarmos
o vetor, usaremos sequências de números. Consideremos que a entrada é a mesma do
exemplo anterior, isto é:
15, 12, 27, 23, 7, 2, 0, 18, 19, 21.
Na primeira etapa o algoritmo considera que o primeiro elemento, o 15, está na
sua posição relativa correta, pois se considera apenas a primeira posição do vetor.
Usaremos os negritos para mostrar quais as etapas já foram feitas pelo algoritmo.
Na segunda etapa deve-se inserir o segundo elemento em sua posição relativa cor-
reta considerando-se somente o vetor de tamanho 2. Como o 12 é menor que que o
15, deve-se trocar estes elementos de posição, nos resultando na sequência:
12, 15, 27, 23, 7, 2, 0, 18, 19, 21.
Nesteponto, oselementos12e15estãoemsuasposiçõesrelativascorretasconsiderando-
se um vetor de 2 posições. Agora, deve-se colocar o 27 no vetor de 3 elementos. Mas
o 27 já está em seu lugar relativo, então o algoritmo não faz nada:
12, 15, 27, 23, 7, 2, 0, 18, 19, 21.
Na quarta etapa deve-se inserir o 23 na sua posição relativa correta considerando-se
um vetor de 4 elementos. O 23 tem que estar entre o 15 e o 27:
12, 15, 23, 27, 7, 2, 0, 18, 19, 21.
Na quinta etapa deve-se inserir o 7 na sua posição relativa a um vetor de 5 ele-
mentos. Ele deve ser inserido antes do 12, isto é, na primeira posição:
7, 12, 15, 23, 27, 2, 0, 18, 19, 21."
53b60eeb-af31-42f6-958d-ae4792677137,Run 3/3,Q2,60b10f0d-043e-46c6-8699-d2c004ed45f3,data/uploads/53b60eeb-af31-42f6-958d-ae4792677137/4fbfafb7-f5b4-4121-aece-41829fdf9299.pdf,204,0.5821939368285549,201,"194 CAPÍTULO 9. VETORES
9.7 Vetores como estruturas de dados
O conceito de vetores, por si só, é tecnicamente umtipo estruturado válido na lin-
guagem Pascal. Uma estrutura de dados é algo um pouco mais soﬁsticado, tem a ver
com a maneira como o vetor é utilizado e quais são, ou não são, as propriedades de
seus elementos.
Por exemplo, para bem utilizar um vetor, é preciso saber se seus elementos úteis,
com relação ao espaço total do vetor, se são alocados do início ao ﬁm, ou do ﬁm ao
início. É importante saber se seus elementos (conteúdos) estão ordenados ou não, o
se, quem sabe, respeitam alguma outra propriedade qualquer.
Estas informações adicionais orientam como são escritos os algoritmos que mani-
pulam o vetor. Se os elementos úteis estão do início ao ﬁm, os comandos de repetição
devem trabalhar no intervalo1..tam. Se os elementos estão ordenados, pode-se usar
a busca binária. Observe que o comportamento logaritmico da busca binária só é
conseguido pois o vetor é considerado ordenado.
Desta maneira, os algoritmos podem (na verdade, devem) explorar estas proprie-
dades subjacentes para que os algoritmos sejam mais eﬁcientes.
Algoritmos e Estruturas de Dados são dois conceitos intimamente relacionados.
As estruturas de Dados permitem algoritmos melhores, ou as vezes, nem tanto.
Porexemplo: vimosqueemumvetornãoordenadoinserireremoverésimples, têm
custo constante. Mas por outro lado buscar tem custo linear. De maneira contrária,
se o vetor está ordenado, então buscar tem custo logaritmico, mas inserir e remover
tem custo linear.
Por isso não podemos dizer que uma estrutura de dados é melhor do que outra
para o caso geral dos problemas vistos até agora. Qual estrutura escolher: vetores
ordenados ou não? A resposta depende da aplicação, se o usuário vai realizar mais
inserções do que buscas, ou vice e versa.
A disciplina de Algoritmos e Estrutura de Dados III vai permitir explorar esta diﬁ-
culdade ao longo de praticamente um semestre todo. Existe material, provavelmente,
para mais do que este tempo. Nesta disciplina, esta trinca de problemas buscar, in-
serir e remover é investigada ao máximo e na verdade constitui pesquisa até os dias
de hoje.
9.8 Ordenação em vetores
Ordenar vetores é extremamente importante em computação, pois é muito comum
que uma saída de um programa seja dada com algum tipo de ordem sobre os dados.
Nesta seção vamos apresentar dois algoritmos para este problema: os métodos da
ordenação por seleção e por inserção.
9.8.1 Ordenação por seleção
A ordenação por seleção é um método bastante simples de se compreender e também
de se implementar."
